datetime,temp,rain(mm),weather,snow(cm)
2019/7/25 1:00:00,25.1,0,,
2019/7/25 2:00:00,25.1,0,,
2019/7/25 3:00:00,25.1,0,4,
2019/7/25 4:00:00,24.4,0,,
2019/7/25 5:00:00,24.4,0,,
2019/7/25 6:00:00,25.3,0,4,
2019/7/25 7:00:00,26.6,0,,
2019/7/25 8:00:00,28.5,0,,
2019/7/25 9:00:00,27.2,0,10,
2019/7/25 10:00:00,28.6,0,,
2019/7/25 11:00:00,29.5,0,,
2019/7/25 12:00:00,31.2,0,2,
2019/7/25 13:00:00,31.5,0,,
2019/7/25 14:00:00,31.1,0,,
2019/7/25 15:00:00,32,0,2,
2019/7/25 16:00:00,30.8,0,,
2019/7/25 17:00:00,29.4,0,,
2019/7/25 18:00:00,28.5,0,2,
2019/7/25 19:00:00,28.3,0,,
2019/7/25 20:00:00,28.4,0,,
2019/7/25 21:00:00,28.1,0,2,
2019/7/25 22:00:00,27.6,0,,
2019/7/25 23:00:00,27.5,0,,
2019/7/26 00:00:00,27.3,0,,
2019/7/26 1:00:00,26.7,0,,
2019/7/26 2:00:00,26.9,0,,
2019/7/26 3:00:00,26.1,0,1,
2019/7/26 4:00:00,26,0,,
2019/7/26 5:00:00,25.8,0,,
2019/7/26 6:00:00,26.5,0,2,
2019/7/26 7:00:00,28.1,0,,
2019/7/26 8:00:00,29.8,0,,
2019/7/26 9:00:00,30.7,0,1,
2019/7/26 10:00:00,31.3,0,,
2019/7/26 11:00:00,32.1,0,,
2019/7/26 12:00:00,31.9,0,2,
2019/7/26 13:00:00,30.6,0,,
2019/7/26 14:00:00,31.6,0,,
2019/7/26 15:00:00,30.9,0,2,
2019/7/26 16:00:00,29.9,0,,
2019/7/26 17:00:00,29.8,0,,
2019/7/26 18:00:00,28.8,0,2,
2019/7/26 19:00:00,28.1,0,,
2019/7/26 20:00:00,28,0,,
2019/7/26 21:00:00,26.7,0,10,
2019/7/26 22:00:00,26,0.5,,
2019/7/26 23:00:00,25.7,0,,
2019/7/27 00:00:00,26,0,,
