datetime,temp,rain(mm),weather,snow(cm)
2019/11/2 1:00:00,14.4,0,,
2019/11/2 2:00:00,13.5,0,,
2019/11/2 3:00:00,12.8,0,1,
2019/11/2 4:00:00,12.2,0,,
2019/11/2 5:00:00,11.2,0,,
2019/11/2 6:00:00,12.2,0,1,
2019/11/2 7:00:00,13,0,,
2019/11/2 8:00:00,14.6,0,,
2019/11/2 9:00:00,16,0,2,
2019/11/2 10:00:00,16.8,0,,
2019/11/2 11:00:00,17.6,0,,
2019/11/2 12:00:00,18.7,0,3,
2019/11/2 13:00:00,19.3,0,,
2019/11/2 14:00:00,18.8,0,,
2019/11/2 15:00:00,18.3,0,1,
2019/11/2 16:00:00,17.2,0,,
2019/11/2 17:00:00,16.9,0,,
2019/11/2 18:00:00,17.5,0,4,
2019/11/2 19:00:00,17,0,,
2019/11/2 20:00:00,17.1,0,,
2019/11/2 21:00:00,16,0,4,
2019/11/2 22:00:00,15.1,0,,
2019/11/2 23:00:00,15.4,0,,
2019/11/3 00:00:00,15.4,0,,
2019/11/3 1:00:00,14.8,0,,
2019/11/3 2:00:00,14.5,0,,
2019/11/3 3:00:00,14.2,0,3,
2019/11/3 4:00:00,13,0,,
2019/11/3 5:00:00,12.9,0,,
2019/11/3 6:00:00,13.5,0,3,
2019/11/3 7:00:00,13.3,0,,
2019/11/3 8:00:00,14.7,0,,
2019/11/3 9:00:00,15.3,0,4,
2019/11/3 10:00:00,16.2,0,,
2019/11/3 11:00:00,17.8,0,,
2019/11/3 12:00:00,17.5,0,4,
2019/11/3 13:00:00,18.5,0,,
2019/11/3 14:00:00,18.4,0,,
2019/11/3 15:00:00,17.6,0,10,
2019/11/3 16:00:00,17.2,0,,
2019/11/3 17:00:00,17.1,0,,
2019/11/3 18:00:00,17.2,0,4,
2019/11/3 19:00:00,17.7,0,,
2019/11/3 20:00:00,17.2,0,,
2019/11/3 21:00:00,16.8,0,4,
2019/11/3 22:00:00,15.8,0,,
2019/11/3 23:00:00,13.7,2.5,,
2019/11/4 00:00:00,13.3,8,,
2019/11/4 1:00:00,12.9,1,,
2019/11/4 2:00:00,12.7,0,,
2019/11/4 3:00:00,12.5,0,4,
2019/11/4 4:00:00,11.7,0,,
2019/11/4 5:00:00,11.1,0,,
2019/11/4 6:00:00,11.6,0,1,
2019/11/4 7:00:00,11.9,0,,
2019/11/4 8:00:00,13.9,0,,
2019/11/4 9:00:00,16.2,0,2,
2019/11/4 10:00:00,17,0,,
2019/11/4 11:00:00,18,0,,
2019/11/4 12:00:00,18.6,0,1,
2019/11/4 13:00:00,19.3,0,,
2019/11/4 14:00:00,18.3,0,,
2019/11/4 15:00:00,18.1,0,1,
2019/11/4 16:00:00,17.2,0,,
2019/11/4 17:00:00,16.4,0,,
2019/11/4 18:00:00,15.4,0,1,
2019/11/4 19:00:00,12.9,0,,
2019/11/4 20:00:00,13.3,0,,
2019/11/4 21:00:00,13.1,0,2,
2019/11/4 22:00:00,12.5,0,,
2019/11/4 23:00:00,14.1,0,,
2019/11/5 00:00:00,12.4,0,,
2019/11/5 1:00:00,13.1,0,,
2019/11/5 2:00:00,11.4,0,,
2019/11/5 3:00:00,10.6,0,1,
2019/11/5 4:00:00,10.1,0,,
2019/11/5 5:00:00,10.3,0,,
2019/11/5 6:00:00,10,0,1,
2019/11/5 7:00:00,10.4,0,,
2019/11/5 8:00:00,12,0,,
2019/11/5 9:00:00,14.7,0,1,
2019/11/5 10:00:00,16.6,0,,
2019/11/5 11:00:00,17.4,0,,
2019/11/5 12:00:00,18.7,0,1,
2019/11/5 13:00:00,18.4,0,,
2019/11/5 14:00:00,18.8,0,,
