日付,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,,（単位：個/cm2）
2020年1月24日（金）,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,
2020年1月25日（土）,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,
2020年1月26日（日）,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,
2020年1月27日（月）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020年1月28日（火）,0.3,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020年1月29日（水）,0.0,0.0,0.0,0.3,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.3,,
2020年1月30日（木）,0.6,0.3,0.3,0.3,0.9,0.0,1.2,0.0,0.0,0.0,0.0,0.3,,
2020年1月31日（金）,0.3,0.0,0.0,0.0,0.9,0.5,0.1,0.0,0.0,0.0,0.5,0.0,,
2020年2月1日（土）,0.0,0.0,0.3,0.0,0.6,0.5,0.1,0.0,0.0,0.0,0.5,0.0,,
2020年2月2日（日）,0.0,0.0,0.0,0.0,0.3,0.5,0.1,0.0,0.0,0.0,0.5,0.0,,
2020年2月3日（月）,1.9,2.5,4.9,1.2,2.5,2.5,3.1,0.0,0.6,0.6,0.0,1.5,,
2020年2月4日（火）,0.0,0.6,0.9,0.9,0.6,2.2,1.4,0.6,0.9,0.0,0.9,0.0,,
2020年2月5日（水）,3.4,0.6,2.5,0.3,1.2,2.8,3.1,1.5,0.0,4.0,1.5,0.6,,
2020年2月6日（木）,0.0,0.3,0.0,0.3,0.3,0.0,2.5,0.0,0.0,0.9,0.3,0.3,,
2020年2月7日（金）,0.0,0.0,0.0,0.0,0.0,1.9,1.3,0.3,0.1,1.1,0.2,0.0,,
2020年2月8日（土）,0.0,0.3,0.3,0.0,0.3,1.9,1.3,0.3,0.1,1.1,0.2,0.0,,
2020年2月9日（日）,0.3,0.0,0.0,0.0,0.0,1.9,1.3,0.3,0.1,1.1,0.2,0.0,,
2020年2月10日（月）,0.3,0.0,0.3,0.0,1.2,1.0,0.6,0.8,0.0,0.3,0.5,0.0,,
2020年2月11日（火）,0.0,0.3,0.3,0.0,0.3,1.0,0.6,0.8,0.0,0.3,0.5,0.0,,
2020年2月12日（水）,17.9,9.6,19.4,16.0,9.6,6.8,8.3,14.2,1.2,8.3,13.6,14.5,,
2020年2月13日（木）,35.5,24.4,88.9,8.6,42.0,19.8,37.8,36.7,7.7,36.4,38.9,36.4,,
2020年2月14日（金）,52.8,26.2,65.1,29.6,22.8,0.6,4.4,37.1,11.2,41.3,4.4,31.5,,
2020年2月15日（土）,10.2,9.0,25.6,12.0,14.2,0.6,4.4,37.1,11.2,41.3,4.4,31.5,,
2020年2月16日（日）,6.5,8.6,5.6,10.8,6.5,0.6,4.4,37.1,11.2,41.3,4.4,31.5,,
2020年2月17日（月）,131.2,96.3,147.2,114.1,145.1,98.5,172.5,129.6,46.9,46.0,166.0,60.8,,
2020年2月18日（火）,107.4,86.7,124.4,72.2,67.0,169.8,159.0,170.4,63.3,66.7,46.0,46.6,,
2020年2月19日（水）,18.5,9.3,57.7,10.8,30.6,29.9,42.6,20.1,13.6,17.3,10.8,10.5,,
2020年2月20日（木）,14.8,7.1,25.3,16.4,8.0,32.1,25.2,10.8,18.5,16.4,8.0,13.0,,
2020年2月21日（金）,30.9,10.2,97.8,34.9,16.7,222.6,200.7,301.4,60.7,81.4,154.2,50.2,,
2020年2月22日（土）,154.9,63.0,172.5,106.8,121.6,222.6,200.7,301.4,60.7,81.4,154.2,50.2,,
2020年2月23日（日）,179.6,78.1,183.6,108.0,147.2,222.6,200.7,301.4,60.7,81.4,154.2,50.2,,
2020年2月24日（月）,56.2,58.0,93.2,70.7,84.9,222.6,200.7,301.4,60.7,81.4,154.2,50.2,,
2020年2月25日（火）,23.1,46.9,18.5,25.3,7.4,62.0,2.8,23.8,18.2,2.5,7.1,0.0,,
2020年2月26日（水）,89.2,62.3,63.4,49.4,23.5,151.2,94.1,149.7,38.9,78.4,14.5,6.2,,
2020年2月27日（木）,55.6,76.2,76.5,17.3,27.5,377.8,284.3,133.3,194.1,110.2,139.8,29.9,,
2020年2月28日（金）,28.7,20.1,115.7,48.1,32.1,30.1,22.3,24.2,27.6,23.9,19.7,12.8,,
2020年2月29日（土）,24.7,67.0,87.7,61.4,32.1,30.1,22.3,24.2,27.6,23.9,19.7,12.8,,
2020年3月1日（日）,88.6,93.8,85.5,97.2,76.5,30.1,22.3,24.2,27.6,23.9,19.7,12.8,,
2020年3月2日（月）,23.1,67.9,71.3,49.4,16.4,50.9,12.0,27.5,6.8,15.1,15.4,16.7,,
2020年3月3日（火）,175.0,100.0,158.0,159.6,154.3,357.7,141.4,332.1,108.6,189.8,206.8,97.8,,
2020年3月4日（水）,25.3,13.3,101.9,89.5,21.6,13.6,23.8,63.6,4.3,28.1,21.0,8.6,,
2020年3月5日（木）,184.0,134.6,165.1,98.5,103.1,505.6,189.8,291.7,197.2,150.3,177.2,187.3,,
2020年3月6日（金）,13.9,47.2,57.4,67.3,44.8,7.5,12.7,7.8,8.0,1.1,4.5,0.9,,
2020年3月7日（土）,5.9,4.3,4.0,2.5,4.3,7.5,12.7,7.8,8.0,1.1,4.5,0.9,,
2020年3月8日（日）,0.9,0.3,0.9,2.5,0.9,7.5,12.7,7.8,8.0,1.1,4.5,0.9,,
2020年3月9日（月）,1.9,2.5,0.7,3.4,1.2,3.4,3.7,1.5,0.6,3.1,3.1,1.5,,
2020年3月10日（火）,39.5,25.0,33.7,36.1,33.3,23.5,33.7,17.9,25.0,15.4,26.5,4.3,,
2020年3月11日（水）,116.6,144.1,164.2,149.0,102.1,167.3,102.5,99.7,55.9,95.1,20.3,30.6,,
2020年3月12日（木）,13.0,18.2,27.5,29.6,17.9,40.1,44.8,15.1,13.1,9.0,23.5,3.4,,
2020年3月13日（金）,54.7,80.2,118.8,61.1,54.7,22.2,10.9,18.1,19.1,6.8,7.3,9.8,,
2020年3月14日（土）,9.6,14.5,5.2,11.7,17.0,22.2,10.9,18.1,19.1,6.8,7.3,9.8,,
2020年3月15日（日）,10.2,13.2,20.6,12.7,18.8,22.2,10.9,18.1,19.1,6.8,7.3,9.8,,
2020年3月16日（月）,20.3,16.2,19.4,9.8,16.9,115.1,21.3,21.9,11.1,15.1,42.9,10.5,,
2020年3月17日（火）,9.6,9.6,9.3,3.7,13.0,1.5,6.8,5.0,4.6,3.7,9.3,3.7,,
2020年3月18日（水）,12.1,7.7,12.0,15.8,11.1,7.1,14.8,11.1,4.3,12.3,20.4,15.8,,
2020年3月19日（木）,129.0,37.0,258.9,42.0,86.1,153.5,63.9,81.6,24.8,33.6,107.8,35.6,,
2020年3月20日（金）,15.5,19.1,29.6,11.5,22.5,153.5,63.9,81.6,24.8,33.6,107.8,35.6,,
2020年3月21日（土）,48.2,47.5,77.5,51.2,49.1,153.5,63.9,81.6,24.8,33.6,107.8,35.6,,
2020年3月22日（日）,79.9,67.0,121.3,55.3,65.8,153.5,63.9,81.6,24.8,33.6,107.8,35.6,,
2020年3月23日（月）,44.1,54.9,47.2,57.4,34.0,93.9,76.5,22.2,24.4,10.5,4.3,12.3,,
2020年3月24日（火）,2.1,3.1,3.0,1.2,5.0,27.7,18.2,16.0,15.1,4.4,8.3,4.7,,
2020年3月25日（水）,4.9,4.3,3.4,1.2,4.3,9.3,4.9,4.0,2.1,2.4,1.8,2.8,,
2020年3月26日（木）,38.0,27.4,20.3,25.6,35.5,13.6,13.3,7.7,3.7,5.9,6.5,8.7,,
2020年3月27日（金）,4.3,11.7,37.4,17.6,17.9,0.6,2.4,2.2,5.0,0.5,1.0,2.6,,
2020年3月28日（土）,11.4,17.6,16.7,20.1,10.2,0.6,2.4,2.2,5.0,0.5,1.0,2.6,,
2020年3月29日（日）,7.7,4.7,4.0,3.0,8.3,0.6,2.4,2.2,5.0,0.5,1.0,2.6,,
2020年3月30日（月）,1.2,11.4,3.7,6.2,3.0,43.8,27.5,1.2,1.2,2.2,1.5,2.5,,
2020年3月31日（火）,0.3,1.5,2.5,1.2,1.9,0.3,1.5,0.3,1.5,0.3,0.6,0.9,,
2020年4月1日（水）,15.4,30.8,45.7,24.7,13.6,60.8,24.1,1.2,8.1,4.9,7.4,13.2,,
2020年4月2日（木）,3.4,8.6,20.7,5.3,9.5,27.5,11.1,9.2,10.2,7.7,9.3,15.5,,
2020年4月3日（金）,34.9,17.6,52.1,17.0,11.4,40.0,31.4,42.4,7.0,12.4,8.9,27.5,,
2020年4月4日（土）,56.2,29.3,52.1,21.6,29.0,40.0,31.4,42.4,7.0,12.4,8.9,27.5,,
2020年4月5日（日）,13.2,21.0,41.0,23.4,16.3,40.0,31.4,42.4,7.0,12.4,8.9,27.5,,
2020年4月6日（月）,3.4,6.8,7.1,5.5,4.3,7.4,1.2,21,1.2,0.6,2.8,8.0,,
2020年4月7日（火）,3.7,5.2,6.2,5.2,7.4,3.1,3.4,5,5.2,14.2,0.6,7.1,,
2020年4月8日（水）,16.0,11.7,9.3,15.1,13.3,20.4,15.7,16,3.4,3.7,3.4,1.5,,
2020年4月9日（木）,12.6,10.5,5.0,19.2,5.0,17.9,9.9,6.5,4.9,1.5,2.2,4.3,,
2020年4月10日（金）,0.6,1.9,1.2,1.2,1.2,2.1,0.5,1.4,1.1,0.1,0.6,0.4,,
2020年4月11日（土）,0.3,0.3,0.6,4.3,0.6,2.1,0.5,1.4,1.1,0.1,0.6,0.4,,
2020年4月12日（日）,1.2,0.6,0.6,0.3,0.6,2.1,0.5,1.4,1.1,0.1,0.6,0.4,,
2020年4月13日（月）,3.1,0.9,2.8,1.2,2.8,0.6,1.8,0.9,0.9,0.9,0.3,2.5,,
2020年4月14日（火）,0.3,1.8,1.5,0.6,1.5,5.4,2.2,2.5,1.9,0.9,1.2,1.8,,
2020年4月15日（水）,3.1,0.0,3.4,0.9,3.4,4.0,5.5,2.5,1.5,2.5,3.1,3.7,,
2020年4月16日（木）,4.3,7.7,8.9,6.2,1.9,12.5,2.8,5.2,1.8,3.7,0.0,6.8,,
2020年4月17日（金）,0.6,0.9,1.8,2.2,0.6,5.5,0.5,0.6,0.5,0.0,1.3,1.7,,
2020年4月18日（土）,1.5,0.6,5.9,2.8,2.5,5.5,0.5,0.6,0.5,0.0,1.3,1.7,,
2020年4月19日（日）,0.0,0.6,0.0,0.0,0.6,5.5,0.5,0.6,0.5,0.0,1.3,1.7,,
2020年4月20日（月）,0.0,0.0,0.6,0.3,0.0,0.3,0.3,0.0,0.9,0.9,0.0,0.9,,
2020年4月21日（火）,1.5,2.2,3.7,1.2,2.8,2.2,3.4,0.0,0.3,0.3,0.0,2.2,,
2020年4月22日（水）,3.1,2.5,3.7,3.7,0.3,3.4,6.8,2.8,0.6,2.2,0.0,1.2,,
2020年4月23日（木）,1.9,1.5,0.9,2.1,0.9,2.2,0.9,3.1,0.0,0.0,0.0,0.3,,
2020年4月24日（金）,0.6,0.9,0.3,0.6,0.0,0.0,0.4,1.6,0.2,0.3,0.0,0.3,,
2020年4月25日（土）,0.0,0.0,0.3,0.0,0.6,0.0,0.4,1.6,0.2,0.3,0.0,0.3,,
2020年4月26日（日）,1.9,0.0,0.9,0.0,0.0,0.0,0.4,1.6,0.2,0.3,0.0,0.3,,
2020年4月27日（月）,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.3,0.3,0.0,0.3,0.3,,
2020年4月28日（火）,0.0,1.2,0.6,0.0,0.0,0.6,0.2,0.8,0.2,0.8,0.0,0.5,,
2020年4月29日（水）,0.9,0.0,0.6,0.0,0.3,0.6,0.2,0.8,0.2,0.8,0.0,0.5,,
2020年4月30日（木）,0.0,0.0,0.6,0.3,0.3,1.2,0.3,3.1,0.0,0.9,0.0,0.0,,
2020年5月1日（金）,0.9,0.6,0.3,0.0,0.3,0.2,0.6,0.5,0.4,0.7,0.1,0.3,,
2020年5月2日（土）,0.3,0.3,0.6,0.6,0.0,0.2,0.6,0.5,0.4,0.7,0.1,0.3,,
2020年5月3日（日）,0.0,0.6,0.6,0.3,0.0,0.2,0.6,0.5,0.4,0.7,0.1,0.3,,
2020年5月4日（月）,0.3,0.9,0.0,0.0,0.0,0.2,0.6,0.5,0.4,0.7,0.1,0.3,,
2020年5月5日（火）,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.5,0.4,0.7,0.1,0.3,,
2020年5月6日（水）,0.0,0.0,0.3,0.0,0.3,0.2,0.6,0.5,0.4,0.7,0.1,0.3,,
2020年5月7日（木）,1.2,0.0,0.0,0.0,0.6,1.5,0.6,0.6,0.6,0.3,0.2,0.6,,
2020年5月8日（金）,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.9,0.0,0.0,0.0,,
2020年5月9日（土）,0.0,0.3,0.0,0.0,0.3,0.0,0.1,0.2,0.9,0.0,0.0,0.0,,
2020年5月10日（日）,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.2,0.9,0.0,0.0,0.0,,
2020年5月11日（月）,0.3,0.0,0.0,0.0,0.0,0.3,0.6,0.3,0.0,0.0,0.0,0.0,,
2020年5月12日（火）,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,,
2020年5月13日（水）,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,
2020年5月14日（木）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
