日付,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,,（単位：個/cm2）
2019年4月6日（土）,223.5,169.4,224.1,305.6,294.4,145.1,94.3,欠測,55.1,29.2,197.8,55.3,,
2019年4月7日（日）,162.7,216.7,225.3,241.7,275.6,145.1,94.3,欠測,55.1,29.2,197.8,55.3,,
2019年4月8日（月）,22.2,56.8,41.0,43.2,86.7,67.9,39.8,70.1,25.0,10.2,11.4,29.7,,
2019年4月9日（火）,65.5,33.3,69.5,27.2,欠測,44.8,15.1,10.2,8.3,10.2,26.6,24.7,,
2019年4月10日（水）,19.5,4.3,11.2,11.1,33.7,12.9,13.3,13.6,11.4,1.8,7.1,4.0,,
2019年4月11日（木）,8.0,13.3,12.4,5.8,6.8,8.3,14.2,5.5,4.7,7.4,13.9,5.0,,
2019年4月12日（金）,4.7,6.5,17.0,2.8,3.1,5.8,8.5,8.2,6.8,2.2,13.0,7.5,,
2019年4月13日（土）,4.7,7.4,4.7,4.9,4.6,5.8,8.5,8.2,6.8,2.2,13.0,7.5,,
2019年4月14日（日）,14.8,12.7,7.7,16.4,31.2,5.8,8.5,8.2,6.8,2.2,13.0,7.5,,
2019年4月15日（月）,74.7,37.0,166.3,67.9,63.3,49.1,124.5,59.3,35.8,33.0,88.6,32.3,,
2019年4月16日（火）,13.3,28.4,45.1,41.7,130.9,30.2,85.6,93.2,40.8,7.1,41.0,8.9,,
2019年4月17日（水）,10.2,6.5,3.7,4.9,91.4,8.0,11.7,2.8,3.1,2.5,15.4,4.6,,
2019年4月18日（木）,27.5,82.4,26.9,17.3,42.0,4.6,10.5,43.2,15.8,0.9,8.4,23.5,,
2019年4月19日（金）,117.7,153.1,229.9,151.6,174.0,153.0,42.8,47.1,7.4,0.7,22.7,63.4,,
2019年4月20日（土）,78.0,67.0,154.3,127.8,120.4,153.0,42.8,47.1,7.4,0.7,22.7,63.4,,
2019年4月21日（日）,36.7,38.9,69.2,67.9,42.9,153.0,42.8,47.1,7.4,0.7,22.7,63.4,,
2019年4月22日（月）,21.6,47.8,40.4,66.0,89.8,88.2,38.2,19.8,4.9,10.2,10.5,31.1,,
2019年4月23日（火）,30.9,19.4,45.0,19.2,19.4,23.7,34.0,38.9,7.7,23.1,13.0,8.0,,
2019年4月24日（水）,13.9,33.0,21.3,26.5,18.8,10.5,5.2,1.2,5.9,0.3,6.8,7.7,,
2019年4月25日（木）,7.1,6.2,7.7,5.6,2.8,7.4,3.7,2.8,0.6,0.6,10.2,12.3,,
2019年4月26日（金）,6.5,12.3,20.1,4.9,15.7,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年4月27日（土）,4.1,7.1,4.8,5.9,5.7,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
