日付,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,,（単位：個/cm2）
2021年1月4日（月）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月5日（火）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月6日（水）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,,
2021年1月7日（木）,0.3,0.0,1.2,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月8日（金）,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,
2021年1月9日（土）,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,
2021年1月10日（日）,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,
2021年1月11日（月）,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,
2021年1月12日（火）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月13日（水）,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月14日（木）,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,,
2021年1月15日（金）,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,
2021年1月16日（土）,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,
2021年1月17日（日）,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,
2021年1月18日（月）,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月19日（火）,0.0,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,
2021年1月20日（水）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
