日付,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,,（単位：個/cm2）
2021年1月21日（木）,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,
2021年1月22日（金）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月23日（土）,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月24日（日）,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月25日（月）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月26日（火）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月27日（水）,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,,
2021年1月28日（木）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年1月29日（金）,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,,
2021年1月30日（土）,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.0,0.0,0.3,0.0,0.0,,
2021年1月31日（日）,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,,
2021年2月1日（月）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年2月2日（火）,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,,
2021年2月3日（水）,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年2月4日（木）,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021年2月5日（金）,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.1,0.2,0.2,,
2021年2月6日（土）,0.3,2.5,0.0,0.6,2.2,0.1,0.1,0.3,0.3,0.1,0.2,0.2,,
2021年2月7日（日）,0.3,1.2,0.6,0.3,1.5,0.1,0.1,0.3,0.3,0.1,0.2,0.2,,
2021年2月8日（月）,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.3,0.0,0.0,0.6,0.0,,
2021年2月9日（火）,0.0,0.3,0.0,0.1,0.0,0.0,0.6,0.3,0.3,0.0,0.3,0.3,,
2021年2月10日（水）,0.3,0.0,0.3,0.1,0.0,1.9,0.8,0.6,0.4,0.2,0.3,0.0,,
2021年2月11日（木）,0.0,0.0,0.0,0.1,0.6,1.9,0.8,0.6,0.4,0.2,0.3,0.0,,
2021年2月12日（金）,1.2,2.5,4.3,18.4,1.9,5.8,4.8,1.6,10.8,11.7,6.7,1.3,,
2021年2月13日（土）,4.0,3.1,3.4,18.4,4.0,5.8,4.8,1.6,10.8,11.7,6.7,1.3,,
2021年2月14日（日）,18.5,15.7,16.7,18.4,45.1,5.8,4.8,1.6,10.8,11.7,6.7,1.3,,
2021年2月15日（月）,76.5,89.5,72.5,18.4,67.3,0.0,46.6,18.8,33.3,29.6,19.4,4.0,,
2021年2月16日（火）,89.2,61.7,86.7,18.4,75.0,29.3,35.8,27.5,41.7,26.5,63.3,13.3,,
2021年2月17日（水）,32.4,21.0,40.1,18.4,33.3,23.1,38.9,15.7,15.4,23.1,9.6,1.2,,
2021年2月18日（木）,103.7,13.3,33.6,50.3,22.2,40.4,25.6,9.9,11.7,27.5,8.0,3.1,,
2021年2月19日（金）,22.2,2.2,10.8,11.7,26.9,146.4,89.7,23.1,55.2,121.1,30.9,24.3,,
2021年2月20日（土）,125.0,49.4,79.0,50.6,65.1,146.4,89.7,23.1,55.2,121.1,30.9,24.3,,
2021年2月21日（日）,119.4,84.9,97.2,88.3,87.7,146.4,89.7,23.1,55.2,121.1,30.9,24.3,,
2021年2月22日（月）,264.5,178.4,250.9,132.7,149.6,768.5,773.2,143.1,446.9,484.6,29.5,52.3,,
2021年2月23日（火）,89.5,111.1,123.1,99.7,114.9,768.5,773.2,143.1,446.9,484.6,29.5,52.3,,
2021年2月24日（水）,29.0,16.4,17.0,28.7,12.7,60.8,63.6,38.6,14.5,23.8,17.6,15.1,,
2021年2月25日（木）,18.8,3.4,21.3,19.8,16.7,27.5,34.3,29.0,22.2,21.6,11.1,5.2,,
2021年2月26日（金）,21.0,24.4,64.8,22.8,15.1,83.7,82.0,36.6,21.9,37.6,13.5,11.8,,
2021年2月27日（土）,42.0,56.5,59.0,18.8,30.6,83.7,82.0,36.6,21.9,37.6,13.5,11.8,,
2021年2月28日（日）,12.7,27.5,17.0,11.7,16.0,83.7,82.0,36.6,21.9,37.6,13.5,11.8,,
2021年3月1日（月）,34.9,14.8,30.5,42.6,60.0,82.4,73.5,8.6,17.6,42.6,27.2,11.1,,
2021年3月2日（火）,100.0,69.4,237.7,107.7,124.4,395.4,232.4,77.8,383.0,321.3,462.7,66.4,,
2021年3月3日（水）,80.3,109.3,143.5,66.0,143.5,199.1,68.5,136.7,83.0,56.5,92.6,32.1,,
2021年3月4日（木）,4.6,4.9,13.0,15.4,10.8,8.3,28.1,17.0,7.7,20.7,7.4,4.9,,
2021年3月5日（金）,10.5,110.2,11.4,43.5,7.4,209.6,145.8,176.9,115.2,235.4,103.3,53.3,,
2021年3月6日（土）,322.0,259.3,324.7,242.6,386.1,209.6,145.8,176.9,115.2,235.4,103.3,53.3,,
2021年3月7日（日）,33.7,36.2,59.9,40.1,60.5,209.6,145.8,176.9,115.2,235.4,103.3,53.3,,
2021年3月8日（月）,20.1,47.8,16.7,27.5,24.4,6.2,7.7,5.9,4.0,9.9,3.7,4.6,,
2021年3月9日（火）,61.8,45.7,111.7,38.6,55.2,46.9,40.1,7.7,30.6,54.0,17.0,28.1,,
2021年3月10日（水）,231.8,180.9,272.2,164.2,154.3,603.4,416.3,294.8,283.6,259.5,238.0,136.8,,
2021年3月11日（木）,87.6,96.3,154.9,92.6,247.2,38.0,88.0,110.5,46.0,82.1,55.2,33.3,,
2021年3月12日（金）,22.5,11.5,32.1,13.9,33.3,82.8,75.7,84.6,35.5,104.3,42.4,19.2,,
2021年3月13日（土）,121.0,75.6,146.7,116.7,51.5,82.8,75.7,84.6,35.5,104.3,42.4,19.2,,
2021年3月14日（日）,199.1,143.2,186.8,135.2,135.2,82.8,75.7,84.6,35.5,104.3,42.4,19.2,,
2021年3月15日（月）,125.9,167.6,136.5,128.0,156.5,83.7,67.9,74.0,31.2,103.7,55.6,19.8,,
2021年3月16日（火）,184.9,127.8,138.4,125.6,162.7,105.0,135.5,95.3,196.6,299.7,71.3,38.5,,
2021年3月17日（水）,180.5,164.5,222.5,183.6,208.3,234.6,27.8,122.3,46.2,210.2,88.9,30.6,,
2021年3月18日（木）,23.8,23.1,45.7,18.6,16.4,51.5,76.9,37.9,45.2,22.0,26.3,18.5,,
2021年3月19日（金）,19.7,19.7,19.1,15.5,7.4,65.2,26.8,32.1,14.8,50.0,5.3,8.8,,
2021年3月20日（土）,50.3,25.3,13.3,17.0,4.0,65.2,26.8,32.1,14.8,50.0,5.3,8.8,,
2021年3月21日（日）,88.9,29.3,151.3,40.4,54.7,65.2,26.8,32.1,14.8,50.0,5.3,8.8,,
2021年3月22日（月）,121.6,205.6,211.8,154.1,125.6,355.0,163.6,58.9,34.2,223.5,43.5,50.0,,
2021年3月23日（火）,25.0,10.8,31.5,20.9,13.3,55.5,33.1,67.3,11.7,33.3,34.2,16.1,,
2021年3月24日（水）,32.7,24.1,54.0,24.1,25.0,92.0,103.4,48.5,65.4,43.6,31.8,8.3,,
2021年3月25日（木）,28.3,48.1,90.8,48.1,27.2,221.6,73.1,17.9,62.1,150.0,38.6,35.5,,
2021年3月26日（金）,24.4,25.3,53.7,25.3,18.2,25.6,9.4,94.7,38.9,2.8,9.5,5.8,,
2021年3月27日（土）,26.2,19.1,52.7,19.1,29.6,25.6,9.4,94.7,38.9,2.8,9.5,5.8,,
2021年3月28日（日）,14.8,7.1,22.6,7.1,5.9,25.6,9.4,94.7,38.9,2.8,9.5,5.8,,
2021年3月29日（月）,47.2,80.5,83.6,80.5,98.2,51.8,24.7,42.6,9.3,51.3,3.7,84.9,,
2021年3月30日（火）,43.2,48.2,47.2,62.0,101.8,127.8,13.3,42.6,14.5,92.6,4.3,20.7,,
2021年3月31日（水）,47.6,91.4,64.8,126.6,37.6,113.9,85.5,30.6,17.6,39.5,37.3,13.2,,
2021年4月1日（木）,30.3,50.3,52.8,53.1,37.6,49.4,28.0,13.9,18.2,33.3,25.9,9.8,,
2021年4月2日（金）,6.8,8.7,13.2,10.5,9.6,9.7,10.8,6.9,6.4,22.0,6.0,4.2,,
2021年4月3日（土）,7.7,2.8,3.4,4.6,29.0,9.7,10.8,6.9,6.4,22.0,6.0,4.2,,
2021年4月4日（日）,12.4,48.8,11.4,16.4,9.9,9.7,10.8,6.9,6.4,22.0,6.0,4.2,,
2021年4月5日（月）,12.1,36.1,27.8,26.8,18.2,29.3,36.1,15,20.1,17.6,12.1,6.8,,
2021年4月6日（火）,3.1,5.8,3.4,7.5,5.6,4.0,11.2,6,2.8,0.9,2.8,0.9,,
2021年4月7日（水）,4.9,5.8,14.8,5.5,8.0,7.1,21.6,12,6.1,10.8,5.2,3.1,,
2021年4月8日（木）,9.0,5.8,30.5,5.0,13.6,10.8,14.8,3.4,7.7,12.4,2.5,21.6,,
2021年4月9日（金）,10.5,5.8,15.7,13.0,8.4,14.0,10.7,4.3,2.7,11.0,5.2,2.8,,
2021年4月10日（土）,0.6,5.8,3.1,2.8,2.5,14.0,10.7,4.3,2.7,11.0,5.2,2.8,,
2021年4月11日（日）,1.5,5.8,2.2,0.6,0.6,14.0,10.7,4.3,2.7,11.0,5.2,2.8,,
2021年4月12日（月）,2.8,5.8,1.2,0.6,2.8,4.3,2.8,3.4,2.4,6.8,0.0,0.6,,
2021年4月13日（火）,5.5,4.6,1.8,1.8,0.9,3.1,0.9,1.2,0.0,1.2,0.0,0.6,,
2021年4月14日（水）,6.5,13.3,4.4,8.4,2.1,8.0,6.5,1.2,1.5,3.4,1.2,0.6,,
2021年4月15日（木）,0.3,0.9,0.6,0.0,0.6,4.9,3.4,0.9,1.5,1.9,0.3,0.3,,
2021年4月16日（金）,0.0,0.3,0.3,0.3,0.3,1.3,0.7,1.2,0.3,1.3,0.0,0.3,,
2021年4月17日（土）,2.5,2.4,1.5,2.4,7.1,1.3,0.7,1.2,0.3,1.3,0.0,0.3,,
2021年4月18日（日）,6.2,3.8,15.4,6.5,2.8,1.3,0.7,1.2,0.3,1.3,0.0,0.3,,
2021年4月19日（月）,2.1,2.2,2.1,4.0,1.5,4.6,3.1,0.6,0.0,1.5,0.6,0.6,,
2021年4月20日（火）,1.9,4.0,8.6,5.6,4.6,9.0,10.5,3.1,4.6,7.1,0.9,0.3,,
2021年4月21日（水）,3.2,0.9,3.4,4.3,2.8,4.6,3.1,3.7,2.8,6.2,0.3,0.9,,
2021年4月22日（木）,2.1,2.8,1.5,1.2,0.9,5.9,7.4,3.4,1.5,2.5,2.4,1.2,,
2021年4月23日（金）,0.3,0.3,1.2,1.2,0.3,1.4,2.0,0.8,0.4,3.0,0.0,0.9,,
2021年4月24日（土）,0.0,0.0,0.3,0.3,0.6,1.4,2.0,0.8,0.4,3.0,0.0,0.9,,
2021年4月25日（日）,1.2,0.3,1.8,0.9,0.3,1.4,2.0,0.8,0.4,3.0,0.0,0.9,,
2021年4月26日（月）,0.9,1.2,1.5,0.9,0.3,0.3,6.7,0.9,0.0,1.5,0.0,0.9,,
2021年4月27日（火）,0.9,1.2,0.3,1.2,0.6,1.5,1.5,2.2,2.2,0.9,0.0,0.3,,
2021年4月28日（水）,0.0,1.5,3.1,1.5,0.6,0.5,0.8,0.2,0.2,0.2,0.0,0.5,,
2021年4月29日（木）,1.8,6.2,4.3,6.2,7.1,0.5,0.8,0.2,0.2,0.2,0.0,0.5,,
2021年4月30日（金）,1.2,0.9,0.0,0.9,0.6,0.7,0.4,0.3,0.6,0.5,0.1,0.4,,
2021年5月1日（土）,1.2,0.9,3.4,0.3,0.3,0.7,0.4,0.3,0.6,0.5,0.1,0.4,,
2021年5月2日（日）,2.5,1.2,0.3,0.9,1.2,0.7,0.4,0.3,0.6,0.5,0.1,0.4,,
2021年5月3日（月）,0.6,0.0,0.0,0.0,0.0,0.7,0.4,0.3,0.6,0.5,0.1,0.4,,
2021年5月4日（火）,0.6,0.0,0.3,0.0,0.3,0.7,0.4,0.3,0.6,0.5,0.1,0.4,,
2021年5月5日（水）,0.6,0.0,0.0,0.0,0.0,0.7,0.4,0.3,0.6,0.5,0.1,0.4,,
2021年5月6日（木）,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.9,1.5,0.0,0.0,0.0,,
2021年5月7日（金）,0.3,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.3,0.1,0.1,0.0,,
2021年5月8日（土）,1.2,0.6,0.3,0.0,0.0,0.0,0.5,0.0,0.3,0.1,0.1,0.0,,
2021年5月9日（日）,0.6,0.0,0.6,0.0,0.0,0.0,0.5,0.0,0.3,0.1,0.1,0.0,,
2021年5月10日（月）,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.3,0.0,,
2021年5月11日（火）,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,
2021年5月12日（水）,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,,
2021年5月13日（木）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
